Product Code,Description,UoM,Category,Image,Brand
2351,BARDINET TRIPLE SEC 750ML,Pcs,Liqueur,/files/media/product/BARDINET TRIPLE SEC 750ML.jpg,BARDINET
250,BLUE CURACAO LIQUEUR 750ML,Pcs,Liqueur,/files/media/product/BLUE CURACAO LIQUEUR 750ML.jpg,BLUE CURACAO
684,FERNET BRANCA LIQUEUR 1LTR,Pcs,Liqueur,/files/media/product/FERNET BRANCA LIQUEUR 1LTR.jpg,FERNET BRANCA
2824,JAGERMEISTER 1.75ML,Pcs,Liqueur,/files/media/product/JAGERMEISTER 1.75ML.webp,Jagermeister
1048,JAGERMEISTER 750ML,Pcs,Liqueur,/files/media/product/JAGERMEISTER 750ML.jpg,Jagermeister
2398,JAGERMEISTER COLD BREW 1LTR,Pcs,Liqueur,/files/media/product/JAGERMEISTER COLD BREW 1LTR.jpg,Jagermeister
1051,JAGERMEISTER WITH CORK 750ML,Pcs,Liqueur,/files/media/product/JAGERMEISTER WITH CORK 750ML.jpg,Jagermeister
2619,ORIJIN BITTERS 250ML,Pcs,Bitters,/files/media/product/ORIJIN BITTERS 250ML.jpeg,ORIJIN
2855,ORIJIN BITTERS 750ml,Pcs,Bitters,/files/media/product/ORIJIN BITTERS 750ml.jpg,ORIJIN
1617,PERNOD LIQUEUR 700ML,Pcs,Liqueur,/files/media/product/PERNOD LIQUEUR 700ML.png,PERNOD
2854,TORRERO 700ML,Pcs,Liqueur,/files/media/product/TORRERO 700ML.jpg,TORRERO
2831,KO MUKHOMBERO 10% GIN COCTAIL 330ML CAN,Pcs,Breezer,/files/media/product/KO MUKHOMBERO 10% GIN COCTAIL 330ML CAN.jpg,Kenyan Originals
995,BOTTLES DEPOSIT,Pcs,Others,/files/media/product/BOTTLES DEPOSIT.jpg,
996,CRATES DEPOSIT,Pcs,Others,/files/media/product/CRATES DEPOSIT.png,
2820,APPLETON ESTATE 12 YEARS LITRE,Pcs,Rum,/files/media/product/APPLETON ESTATE 12 YEARS LITRE.webp,APPLETON
2380,BUMBU XO 700ML,Pcs,cognac,/files/media/product/BUMBU XO 700ML.jpeg,BUMBU
2651,CAPTAIN MORGAN MUCKPIT 750ML,Pcs,Liqueur,/files/media/product/CAPTAIN MORGAN MUCKPIT 750ML.webp,Captain Morgan
2652,CAPTAIN MUCK PIT 250ML,Pcs,Liqueur,/files/media/product/CAPTAIN MUCK PIT 250ML.webp,Captain Morgan
2813,DON PAPA SINGLE ISLAND RUM 700ML,Pcs,Rum,/files/media/product/DON PAPA SINGLE ISLAND RUM 700ML.jpg,DON PAPA
2475,HAVANA CLUB RHUM ANEJO 3YRS LITRE,Pcs,whisky,/files/media/product/HAVANA CLUB RHUM ANEJO 3YRS LITRE.png,HAVANA CLUB
2476,HAVANA CLUB RHUM ESPECIA LITRE,Pcs,whisky,/files/media/product/HAVANA CLUB RHUM ESPECIA LITRE.webp,HAVANA CLUB
1987,THREE MONKEYS RED 750ML,Pcs,Gin,/files/media/product/THREE MONKEYS RED 750ML.webp,THREE MONKEYS
2836,COKE 1LITRE,Pcs,Beverage,/files/media/product/COKE 1LITRE.webp,COKE
2493,DAWA DRINK 500ML,Pcs,Beverage,/files/media/product/DAWA DRINK 500ML.jpeg,DAWA
590,DELMONTE PASSION 1LTR,Pcs,Juice,/files/media/product/DELMONTE PASSION 1LTR.webp,Delmonte
2634,FANTA BLACK CURRENT 1.25L,Pcs,Beverage,/files/media/product/FANTA BLACK CURRENT 1.25L.webp,FANTA
2635,FANTA BLACK CURRENT 2L,Pcs,Beverage,/files/media/product/FANTA BLACK CURRENT 2L.jpeg,FANTA
2865,Fanta Black Current 350ML,Pcs,Beverage,/files/media/product/Fanta Black Current 350ML.jpeg,FANTA
2636,FANTA BLACK CURRENT 500ML,Pcs,Beverage,/files/media/product/FANTA BLACK CURRENT 500ML.jpg,FANTA
679,FANTA ORANGE 1.25L,Pcs,Beverage,/files/media/product/FANTA ORANGE 1.25L.jpeg,FANTA
680,FANTA ORANGE 2L,Pcs,Beverage,/files/media/product/FANTA ORANGE 2L.avif,FANTA
2861,Fanta Orange 350ml,Pcs,Beverage,/files/media/product/Fanta Orange 350ml.webp,FANTA
681,FANTA ORANGE 500ML,Pcs,Beverage,/files/media/product/FANTA ORANGE 500ML.jpg,FANTA
2637,FANTA PASSION 2L,Pcs,Beverage,/files/media/product/FANTA PASSION 2L.jpeg,FANTA
2638,FANTA PASSION 500ML,Pcs,Beverage,/files/media/product/FANTA PASSION 500ML.jpeg,FANTA
2639,MINUTE MAID APPLE 400ML,Pcs,Juice,/files/media/product/MINUTE MAID APPLE 400ML.jpeg,MINUTE MAID
2827,MINUTE MAID APPPLE 1 LTR,Pcs,Juice,/files/media/product/MINUTE MAID APPPLE 1 LTR.jpg,MINUTE MAID
2826,MINUTE MAID MANGO 1 LTR,Pcs,Juice,/files/media/product/MINUTE MAID MANGO 1 LTR.jpeg,MINUTE MAID
2641,MINUTE MAID TROPICAL 400ML,Pcs,Juice,/files/media/product/MINUTE MAID TROPICAL 400ML.avif,MINUTE MAID
2828,MINUTE MAID TROPICAL MIXED FRUIT 1 LTR,Pcs,Juice,/files/media/product/MINUTE MAID TROPICAL MIXED FRUIT 1 LTR.jpg,MINUTE MAID
2829,MINUTE MANGO 400ML,Pcs,Juice,/files/media/product/MINUTE MANGO 400ML.jpg,MINUTE MAID
2868,NOVIDA 350ML,Pcs,Beverage,/files/media/product/NOVIDA 350ML.jpg,NOVIDA
2615,POWER PLAY,Pcs,Beverage,/files/media/product/POWER PLAY.avif,POWER PLAY
2616,PREDATOR ENERGY,Pcs,Beverage,/files/media/product/PREDATOR ENERGY.avif,PREDATOR
2456,SCHWEEPES BITTER LEMON 500ML,Pcs,beverage,/files/media/product/SCHWEEPES BITTER LEMON 500ML.webp,SCHWEEPES
2838,SPRITE 1 LITRE,Pcs,beverage,/files/media/product/SPRITE 1 LITRE.jpg,SPRITE
2862,Sprite 350ml,Pcs,beverage,/files/media/product/Sprite 350ml.webp,SPRITE
2863,Stoney 350ml,Pcs,beverage,/files/media/product/Stoney 350ml.avif,STONEY
2873,DALLAS BRANDY 250ML,Pcs,brandy,/files/media/product/DALLAS BRANDY 250ML.avif,DALLAS
2864,KANE EXTRA 250ML,Pcs,Spirit,/files/media/product/KANE EXTRA 250ML.avif,KANE EXTRA
2452,KANE EXTRA 750ML,Pcs,Spirit,/files/media/product/KANE EXTRA 750ML.jpg,KANE EXTRA
2403,KENYA CANE LEMON & GINGER 750ML,Pcs,Liqueur,/files/media/product/KENYA CANE LEMON & GINGER 750ML.webp,KENYA CANE
1229,KONYAGI 250 ML,Pcs,Spirit,/files/media/product/KONYAGI 250 ML.avif,KONYAGI
1230,KONYAGI 500 ML,Pcs,Spirit,/files/media/product/KONYAGI 500 ML.jpg,KONYAGI
2481,1800 REPOSADO RF LITRE,Pcs,Tequila,/files/media/product/1800 REPOSADO RF LITRE.jpg,1800 Tequila
2468,CASA MIGOS ANEJO 700ML,Pcs,Tequila,/files/media/product/CASA MIGOS ANEJO 700ML.webp,CASA MIGOS
2469,CASA MIGOS BLANCO 700ML,Pcs,Tequila,/files/media/product/CASA MIGOS BLANCO 700ML.jpg,CASA MIGOS
623,DON JULIO BLANCO 750ML,Pcs,Tequila,/files/media/product/DON JULIO BLANCO 750ML.webp,DON JULIO
1557,OLMECA ALTOS REPOSADO 38% 750ML,Pcs,Tequila,/files/media/product/OLMECA ALTOS REPOSADO 38% 750ML.jpeg,OLMECA
1609,PEPE LOPEZ TEQUILA 1LTR,Pcs,Tequila,/files/media/product/PEPE LOPEZ TEQUILA 1LTR.jpg,PEPE LOPEZ
2485,VOLCAN REPOSADO 700ML,Pcs,Tequila,/files/media/product/VOLCAN REPOSADO 700ML.webp,VOLCAN
2891,"13000 PASSION FRUIT KIWI GUAVA , 88004",Pcs,Vape,"/files/media/product/13000 PASSION FRUIT KIWI GUAVA , 88004.jpeg",
2887,"13000 PEACH GRAPE , 88006",Pcs,Vape,"/files/media/product/13000 PEACH GRAPE , 88006.webp",
2890,"13000 PEACH MANGO ICE, 84957",Pcs,Vape,"/files/media/product/13000 PEACH MANGO ICE, 84957.jpeg",
2883,"6500 PUFFS GRAPE ICE COLOUR , 18694",Pcs,Vape,"/files/media/product/6500 PUFFS GRAPE ICE COLOUR , 18694.webp",
2885,"6500 PUFFS LIME MINT, 94867",Pcs,Vape,"/files/media/product/6500 PUFFS LIME MINT, 94867.webp",
2886,"6500 PUFFS PEACH MANGO ICE COLOUR, 18801",Pcs,Vape,"/files/media/product/6500 PUFFS PEACH MANGO ICE COLOUR, 18801.webp",
2884,"6500 PUFFS PINEAPPLE PASSION FRUIT COLOUR , 18800",Pcs,Vape,"/files/media/product/6500 PUFFS PINEAPPLE PASSION FRUIT COLOUR , 18800.webp",
2882,"6500 PUFFS WATERMELON ICE COLOUR, 18687",Pcs,Vape,"/files/media/product/6500 PUFFS WATERMELON ICE COLOUR, 18687.webp",
2920,BLUEBERRY ICE 1800 PUFFS,Pcs,Vape,/files/media/product/BLUEBERRY ICE 1800 PUFFS.jpeg,
2915,BLUE RAZZ 9000 PUFFS,Pcs,Vape,/files/media/product/BLUE RAZZ 9000 PUFFS.jpg,
2919,COLA LIME 1800 PUFFS,Pcs,Vape,/files/media/product/COLA LIME 1800 PUFFS.webp,
2916,COLA LIME 9000 PUFFS,Pcs,Vape,/files/media/product/COLA LIME 9000 PUFFS.jpg,
2889,"JUPITER 13000 GRAPE ICE , 74363",Pcs,Vape,"/files/media/product/JUPITER 13000 GRAPE ICE , 74363.webp",
2888,"JUPITER 13000 RASPBERRY LEMON , 29716",Pcs,Vape,"/files/media/product/JUPITER 13000 RASPBERRY LEMON , 29716.jpeg",
2918,SUN KISSED GRAPE 9000 PUFFS,Pcs,Vape,/files/media/product/SUN KISSED GRAPE 9000 PUFFS.webp,
2892,"VAPENGIN BATTERY , 96800",Pcs,Vape,"/files/media/product/VAPENGIN BATTERY , 96800.jpeg",
2917,WATERMELON ICE 9000 PUFFS,Pcs,Vape,/files/media/product/WATERMELON ICE 9000 PUFFS.jpeg,
2533,IRIS VERMOUTH BLANCO LITRE,Pcs,Vermouth,/files/media/product/IRIS VERMOUTH BLANCO LITRE.webp,IRIS VERMOUTH
2534,IRIS VERMOUTH ROJO LITRE,Pcs,Vermouth,/files/media/product/IRIS VERMOUTH ROJO LITRE.jpg,IRIS VERMOUTH
2457,ABSOLUT LIME LITRE,Pcs,Vodka,/files/media/product/ABSOLUT LIME LITRE.webp,Absolut
36,ABSOLUT PEACH 1LTR,Pcs,Vodka,/files/media/product/ABSOLUT PEACH 1LTR.webp,Absolut
2878,AVALON VODKA 250ML,Pcs,Vodka,/files/media/product/AVALON VODKA 250ML.jpg,AVALON
2879,AVALON VODKA 750ML,Pcs,Vodka,/files/media/product/AVALON VODKA 750ML.jpg,AVALON
2265,BLUE MOON 750ML,Pcs,Spirit,/files/media/product/BLUE MOON 750ML.avif,BLUE MOON
479,CIROC APPLE 750ML,Pcs,Vodka,/files/media/product/CIROC APPLE 750ML.jpg,CIROC
2470,CIROC COCONUT 700ML,Pcs,Vodka,/files/media/product/CIROC COCONUT 700ML.jpg,CIROC
2471,CIROC LIMONATA 700ML,Pcs,Vodka,/files/media/product/CIROC LIMONATA 700ML.png,CIROC
2472,CIROC PEACH 700ML,Pcs,Vodka,/files/media/product/CIROC PEACH 700ML.jpg,CIROC
485,CIROC PINEAPPLE VODKA 1LTR,Pcs,Vodka,/files/media/product/CIROC PINEAPPLE VODKA 1LTR.png,CIROC
2458,CIROC RED BERRY LITRE,Pcs,Vodka,/files/media/product/CIROC RED BERRY LITRE.jpeg,CIROC
2381,CIROC SNAP FOREST 1LTR,Pcs,Vodka,/files/media/product/CIROC SNAP FOREST 1LTR.webp,CIROC
2579,FLIRT STRAWBERRY 700ML,Pcs,Vodka,/files/media/product/FLIRT STRAWBERRY 700ML.webp,FLIRT
2581,FLIRT VODKA CHOCOLATE 700ML,Pcs,Vodka,/files/media/product/FLIRT VODKA CHOCOLATE 700ML.jpeg,FLIRT
820,GIBSON'S GIN 1LTR,Pcs,Gin,/files/media/product/GIBSON'S GIN 1LTR.webp,Gibson's
2409,MR BOSTON VODKA 1LTR,Pcs,Vodka,/files/media/product/MR BOSTON VODKA 1LTR.png,MR BOSTON
2567,PEROVSKAIA CHOCOLATE VODKA LITRE,Pcs,Vodka,/files/media/product/PEROVSKAIA CHOCOLATE VODKA LITRE.jpeg,PEROVSKAIA
2568,PEROVSKAIA CRANBERRY VODKA LITRE,Pcs,Vodka,/files/media/product/PEROVSKAIA CRANBERRY VODKA LITRE.jpeg,PEROVSKAIA
2569,PEROVSKAIA PLATIMUM VODKA LITRE,Pcs,Vodka,/files/media/product/PEROVSKAIA PLATIMUM VODKA LITRE.jpeg,PEROVSKAIA
2852,PLATINUM VODKA LITRE,Pcs,Vodka,/files/media/product/PLATINUM VODKA LITRE.webp,PLATINUM
2393,RUSSIAN BEAR ENERGY FUDION EXPORT 750ML,Pcs,vodka,/files/media/product/RUSSIAN BEAR ENERGY FUDION EXPORT 750ML.jpg,RUSSIAN BEAR
2395,RUSSIAN BEAR PASSION FRUIT 750ML,Pcs,vodka,/files/media/product/RUSSIAN BEAR PASSION FRUIT 750ML.jpeg,RUSSIAN BEAR
2394,RUSSIAN BEAR VODKA 750ML,Pcs,vodka,/files/media/product/RUSSIAN BEAR VODKA 750ML.webp,RUSSIAN BEAR
2396,RUSSIAN BEAR WILD BERRY EXPORT 750ML,Pcs,vodka,/files/media/product/RUSSIAN BEAR WILD BERRY EXPORT 750ML.webp,RUSSIAN BEAR
825,SMIRNOFF,Pcs,Others,/files/media/product/SMIRNOFF.png,Smirnoff
2866,SMIRNOFF COSMO COCKTAIL 750ML,Pcs,Liqueur,/files/media/product/SMIRNOFF COSMO COCKTAIL 750ML.webp,Smirnoff
2360,STOLICHNAYA HOT 750ML,Pcs,vodka,/files/media/product/STOLICHNAYA HOT 750ML.jpg,Stolichnaya
2856,DALALI SPARKLING WATER 1L,Pcs,beverage,,DALALI
2921,DALALI WATER MINERAL 500ml,Pcs,beverage,,DALALI
567,DALALI WATER STILL MINERAL 1LTR,Pcs,beverage,,DALALI
2859,100 Strokes Whisky 375ML,Pcs,whisky,/files/media/product/100 Strokes Whisky 375ML.jpeg,100 STROKES
2858,100 Strokes Whisky 750ML,Pcs,whisky,/files/media/product/100 Strokes Whisky 750ML.webp,100 STROKES
2530,44 BLENDED SCOTCH 700ML,Pcs,whisky,/files/media/product/44 BLENDED SCOTCH 700ML.png,44 BLENDED
2795,6TH SENSE LONDON DRY GIN 1 LITRE,Pcs,Gin,/files/media/product/6TH SENSE LONDON DRY GIN 1 LITRE.png,6TH SENSE
27,8PM BLENDED WHISKY FIRE 750ML,Pcs,whisky,/files/media/product/8PM BLENDED WHISKY FIRE 750ML.png,8Pm
28,8PM WHISKY HONEY 750ML,Pcs,whisky,/files/media/product/8PM WHISKY HONEY 750ML.jpg,8Pm
2459,ABERLOUR 12YRS DOUBLE CASK LITRE,Pcs,whisky,/files/media/product/ABERLOUR 12YRS DOUBLE CASK LITRE.jpeg,Aberlour
78,ALL SEASONS 375ML,Pcs,whisky,/files/media/product/ALL SEASONS 375ML.avif,ALL SEASONS
